Tanggal;Provinsi;Kabupaten/Kota;Cuaca Ekstrem;Dampak
2023-03-23;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2023-04-26;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-04-26;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-04-27;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2023-05-04;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-05-06;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2023-06-05;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-06-05;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-06-06;Jawa Barat;Kab. Bandung;Angin Kencang;Pohon Tumbang
2023-06-07;Jawa Barat;Kab. Bandung;Puting Beliung, Hujan Lebat;Bangunan Rusak
2023-10-02;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2023-10-22;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-11-12;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-11-14;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-11-30;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2023-12-08;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-12-10;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-12-10;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2023-12-23;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2023-12-25;Jawa Barat;Kab. Bandung;Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-12-28;Jawa Barat;Kab. Bandung;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2024-01-09;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-01-16;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2024-02-01;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2024-02-05;Jawa Barat;Kab. Bandung;Hujan Lebat;Tidak diketahui
2024-02-17;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-02-22;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat, Hujan Es;Pohon Tumbang, Bangunan Rusak
2024-02-23;Jawa Barat;Kab. Bandung;Hujan Lebat, Petir;Korban Jiwa / Luka
2024-02-24;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2024-02-27;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2024-02-28;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2024-03-02;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-04-23;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Korban Jiwa / Luka
2024-04-24;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-05-04;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat, Hujan Es;Pohon Tumbang, Bangunan Rusak
2021-06-17;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat, Hujan Es;Banjir / Genangan
2024-07-08;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2024-09-11;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-09-25;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-11-05;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2024-11-11;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2024-11-18;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-11-21;Jawa Barat;Kab. Bandung;Angin Kencang;Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2024-11-27;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2024-12-01;Jawa Barat;Kab. Bandung;Puting Beliung;Tidak diketahui
2024-12-04;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor
2018-01-14;Jawa Barat;Kab. Bandung Barat;Puting Beliung, Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2018-03-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2019-07-11;Jawa Barat;Kab. Bandung Barat;Suhu Ekstrem;Tidak diketahui
2019-11-23;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2019-12-06;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2020-03-31;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2020-05-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2020-06-21;Jawa Barat;Kab. Bandung Barat;Puting Beliung;Bangunan Rusak
2020-07-02;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang
2020-09-27;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2020-10-19;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2020-10-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2020-10-23;Jawa Barat;Kab. Bandung Barat;Puting Beliung;Bangunan Rusak
2020-10-25;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2020-10-27;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2020-11-14;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2020-12-16;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2020-12-24;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-02-04;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-05-21;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Banjir / Genangan
2021-07-06;Jawa Barat;Kab. Bandung Barat;Puting Beliung;Bangunan Rusak
2021-09-27;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2021-10-17;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-10-19;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2021-11-26;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2021-11-28;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2022-01-11;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-02-18;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2022-03-16;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-03-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2022-03-30;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2022-04-21;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2022-05-09;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-06-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Gangguan Transportasi
2022-08-07;Jawa Barat;Kab. Bandung Barat;Puting Beliung;Tidak diketahui
2022-09-04;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-11-15;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-12-16;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Gangguan Transportasi
2022-12-27;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-12-31;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-01-31;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-03-05;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-03-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-04-24;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-04-25;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-08-02;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2023-09-29;Jawa Barat;Kab. Bandung Barat;Angin Kencang;Bangunan Rusak, Korban Jiwa / Luka
2023-10-04;Jawa Barat;Kab. Bandung Barat;Angin Kencang;Bangunan Rusak
2023-11-21;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-11-24;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-01-09;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka
2024-02-16;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-02-18;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-02-18;Jawa Barat;Kab. Bandung Barat;Puting Beliung, Hujan Lebat;Bangunan Rusak
2024-02-25;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-03-07;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor
2024-03-17;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-03-27;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Gangguan Transportasi
2024-04-26;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi
2024-05-13;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-05-14;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-06-15;Jawa Barat;Kab. Bandung Barat;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2024-06-16;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-10-24;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-10-31;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2024-11-05;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Banjir / Genangan
2024-11-16;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-11-17;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-11-20;Jawa Barat;Kab. Bandung Barat;Angin Kencang, Hujan Lebat;Pohon Tumbang, Korban Jiwa / Luka
2024-11-20;Jawa Barat;Kab. Bandung Barat;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-04-25;Jawa Barat;Kab. Bandung Barat;Hujan Lebat, Petir;Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi
2020-05-18;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2020-10-23;Jawa Barat;Kab. Bekasi;Puting Beliung;Bangunan Rusak
2021-01-24;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2021-02-07;Jawa Barat;Kab. Bekasi;Puting Beliung;Bangunan Rusak
2021-02-19;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-02-20;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-02-21;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-02-26;Jawa Barat;Kab. Bekasi;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2021-03-05;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat, Hujan Es;Banjir / Genangan
2021-04-14;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat, Hujan Es;Banjir / Genangan, Pohon Tumbang
2021-05-06;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-05-07;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-05-23;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-05-25;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2021-11-13;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2022-01-04;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2022-01-06;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-02-15;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-02-15;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-02-17;Jawa Barat;Kab. Bekasi;Puting Beliung, Hujan Lebat;Bangunan Rusak
2022-02-27;Jawa Barat;Kab. Bekasi;Angin Kencang;Pohon Tumbang
2022-04-30;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-08-04;Jawa Barat;Kab. Bekasi;Puting Beliung;Bangunan Rusak
2022-10-04;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2022-11-26;Jawa Barat;Kab. Bekasi;Puting Beliung, Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2022-12-04;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2022-12-05;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2022-12-12;Jawa Barat;Kab. Bekasi;Puting Beliung;Bangunan Rusak, Korban Jiwa / Luka
2022-12-17;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-01-01;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-01-13;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-02-12;Jawa Barat;Kab. Bekasi;Puting Beliung, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Tidak ada data
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-02-12;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-02-24;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-02-26;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan
2023-03-02;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-04-02;Jawa Barat;Kab. Bekasi;Hujan Lebat, Hujan Es;Bangunan Rusak
2023-04-02;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka
2023-04-04;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-01-04;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-01-21;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-02-07;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2024-02-07;Jawa Barat;Kab. Bekasi;Angin Kencang;Bangunan Rusak
2024-02-07;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-03-13;Jawa Barat;Kab. Bekasi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-10-21;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-10-30;Jawa Barat;Kab. Bekasi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-11-10;Jawa Barat;Kab. Bekasi;Hujan Lebat, Petir;Bangunan Rusak
2023-03-24;Jawa Barat;Kab. Bekasi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2023-03-01;Jawa Barat;Kab. Bekasi;Puting Beliung, Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2019-09-12;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Bangunan Rusak
2020-01-01;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-05-18;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2020-09-15;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2020-09-21;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2020-09-21;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2020-10-20;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Bangunan Rusak
2020-10-23;Jawa Barat;Kab. Bogor;Angin Kencang;Bangunan Rusak
2020-11-10;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2020-11-17;Jawa Barat;Kab. Bogor;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2020-11-18;Jawa Barat;Kab. Bogor;Puting Beliung;Bangunan Rusak
2020-11-21;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-01-01;Jawa Barat;Kab. Bogor;Puting Beliung;Tanah Longsor
2021-01-10;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2021-01-19;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-01-20;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-02-08;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-02-08;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-02-19;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2021-02-19;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-02-25;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-03-01;Jawa Barat;Kab. Bogor;Puting Beliung, Hujan Es;Bangunan Rusak
2021-03-14;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-03-23;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-03-25;Jawa Barat;Kab. Bogor;Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2021-03-26;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-04-11;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-04-18;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-04-19;Jawa Barat;Kab. Bogor;Petir;Bangunan Rusak
2021-05-06;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-05-07;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-05-08;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2021-05-09;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2021-05-10;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-05-16;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-05-29;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-06-03;Jawa Barat;Kab. Bogor;Hujan Lebat;Tanah Longsor
2021-06-04;Jawa Barat;Kab. Bogor;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2021-06-07;Jawa Barat;Kab. Bogor;Puting Beliung;Bangunan Rusak
2021-06-11;Jawa Barat;Kab. Bogor;Hujan Lebat, Petir;Korban Jiwa / Luka
2021-08-01;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2021-08-21;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
2021-09-06;Jawa Barat;Kab. Bogor;Hujan Lebat;Banjir / Genangan
