kabupaten/kota;tahun;hasil_panen;status_panen;info_cuaca
Kota Bandung;2022;7186,11;NAIK (+88 ton);Cuaca: Hujan Lebat (28x), Angin Kencang, Hujan Lebat (8x), Puting Beliung (6x), Angin Kencang (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x) | Dampak: Banjir / Genangan (15x), Pohon Tumbang (6x), Banjir / Genangan, Gangguan Transportasi (6x), Bangunan Rusak (5x), Tanah Longsor (3x), Pohon Tumbang, Gangguan Transportasi (3x), Bangunan Rusak, Korban Jiwa / Luka (2x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Pohon Tumbang (1x), Pohon Tumbang, Bangunan Rusak (1x)
Kota Bandung;2023;6325,63;TURUN (-860 ton);Cuaca: Hujan Lebat (26x), Angin Kencang, Hujan Lebat (12x), Angin Kencang (3x), Puting Beliung (3x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (10x), Bangunan Rusak (6x), Banjir / Genangan (6x), Pohon Tumbang, Gangguan Transportasi (5x), Pohon Tumbang, Bangunan Rusak (4x), Banjir / Genangan, Tanah Longsor (2x), Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x), Tanah Longsor, Gangguan Transportasi (1x), Pohon Tumbang (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x)
Kota Bandung;2024;6547,7;NAIK (+222 ton);Cuaca: Angin Kencang, Hujan Lebat (17x), Hujan Lebat (14x), Angin Kencang (3x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Hujan Lebat, Petir (1x), Petir (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (5x), Bangunan Rusak (4x), Pohon Tumbang, Gangguan Transportasi (4x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (3x), Pohon Tumbang (3x), Pohon Tumbang, Bangunan Rusak (3x), Tidak diketahui (2x), Korban Jiwa / Luka (2x), Banjir / Genangan, Bangunan Rusak (2x), Banjir / Genangan (2x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Tanah Longsor, Bangunan Rusak (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tanah Longsor (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang (1x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x)
Bandung Barat;2018;170934,99;Data Awal;Cuaca: Puting Beliung, Angin Kencang, Hujan Lebat (1x), Hujan Lebat (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (1x), Tanah Longsor (1x)
Bandung Barat;2019;158988,38;TURUN (-11.947 ton);Cuaca: Hujan Lebat (2x), Suhu Ekstrem (1x) | Dampak: Tidak diketahui (1x), Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan (1x)
Bandung Barat;2020;164640,5;NAIK (+5.652 ton);Cuaca: Hujan Lebat (8x), Angin Kencang, Hujan Lebat (3x), Puting Beliung (2x) | Dampak: Tanah Longsor, Bangunan Rusak (4x), Bangunan Rusak (3x), Tanah Longsor (2x), Banjir / Genangan (2x), Pohon Tumbang (1x), Pohon Tumbang, Bangunan Rusak (1x)
Bandung Barat;2021;146494,62;TURUN (-18.146 ton);Cuaca: Hujan Lebat (5x), Angin Kencang, Hujan Lebat (2x), Puting Beliung (1x) | Dampak: Banjir / Genangan (3x), Bangunan Rusak (2x), Tanah Longsor (2x), Tanah Longsor, Bangunan Rusak (1x)
Bandung Barat;2022;153648,3;NAIK (+7.154 ton);Cuaca: Hujan Lebat (10x), Angin Kencang, Hujan Lebat (3x), Puting Beliung (1x) | Dampak: Tanah Longsor (3x), Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (2x), Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Pohon Tumbang (1x), Tidak diketahui (1x), Tanah Longsor, Gangguan Transportasi (1x), Bangunan Rusak (1x)
Bandung Barat;2023;143212,5;TURUN (-10.436 ton);Cuaca: Hujan Lebat (7x), Angin Kencang (2x), Angin Kencang, Hujan Lebat (1x) | Dampak: Tanah Longsor, Bangunan Rusak (3x), Tanah Longsor, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Bangunan Rusak (1x), Banjir / Genangan, Gangguan Transportasi (1x)
Bandung Barat;2024;148803;NAIK (+5.590 ton);Cuaca: Hujan Lebat (12x), Angin Kencang, Hujan Lebat (6x), Puting Beliung, Hujan Lebat (1x), Angin Kencang (1x), Hujan Lebat, Petir (1x) | Dampak: Bangunan Rusak (4x), Tanah Longsor, Gangguan Transportasi (3x), Tanah Longsor, Bangunan Rusak (3x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak (2x), Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Gangguan Transportasi (1x), Tanah Longsor (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan (1x), Pohon Tumbang, Korban Jiwa / Luka (1x)
Kota Banjar;2018;31610,43;Data Awal;Cuaca: Puting Beliung (1x), Angin Kencang, Hujan Lebat (1x) | Dampak: Tidak ada data (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x)
Kota Banjar;2019;28744,69;TURUN (-2.866 ton);Cuaca: Angin Kencang, Hujan Lebat (1x) | Dampak: Bangunan Rusak (1x)
Kota Banjar;2020;28371,86;TURUN (-373 ton);Cuaca: Angin Kencang, Hujan Lebat (3x), Angin Kencang (2x), Puting Beliung, Angin Kencang (1x), Hujan Lebat (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang (1x), Bangunan Rusak (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak (1x), Tanah Longsor (1x)
Kota Banjar;2021;35624,74;NAIK (+7.253 ton);Cuaca: Angin Kencang (1x), Angin Kencang, Hujan Lebat (1x) | Dampak: Bangunan Rusak (1x), Pohon Tumbang (1x)
Kota Banjar;2022;31271,18;TURUN (-4.354 ton);Cuaca: Hujan Lebat (3x), Angin Kencang, Hujan Lebat (2x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (2x), Bangunan Rusak (2x), Tidak ada data (1x), Banjir / Genangan, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak (1x)
Kota Banjar;2023;31891,85;NAIK (+621 ton);Cuaca: Angin Kencang, Hujan Lebat (2x), Petir (1x), Hujan Lebat (1x) | Dampak: Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan (1x)
Kota Banjar;20204;28913,8;TURUN (-2.978 ton);Aman / Tidak tercatat
Bekasi;2018;544986,21;Data Awal;Cuaca: Hujan Lebat (9x), Angin Kencang (1x) | Dampak: Banjir / Genangan (9x), Bangunan Rusak (1x)
Bekasi;2019;549639,74;NAIK (+4.654 ton);Cuaca: Hujan Lebat (6x), Suhu Ekstrem (3x), Angin Kencang (2x), Puting Beliung (2x) | Dampak: Banjir / Genangan (6x), Tidak ada data (3x), Bangunan Rusak (2x), Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang (1x)
Bekasi;2020;504103,3;TURUN (-45.536 ton);Cuaca: Hujan Lebat (10x), Puting Beliung (2x), Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (10x), Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x)
Bekasi;2021;587586,07;NAIK (+83.483 ton);Cuaca: Hujan Lebat (20x), Angin Kencang, Hujan Lebat (3x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x) | Dampak: Banjir / Genangan (18x), Pohon Tumbang, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak (1x), Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang (1x), Tanah Longsor (1x), Pohon Tumbang (1x), Banjir / Genangan, Gangguan Transportasi (1x)
Bekasi;2022;555747,1;TURUN (-31.839 ton);Cuaca: Hujan Lebat (14x), Angin Kencang, Hujan Lebat (7x), Angin Kencang (3x), Puting Beliung (2x), Puting Beliung, Hujan Lebat (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (11x), Bangunan Rusak (6x), Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang (2x), Banjir / Genangan, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Bangunan Rusak, Korban Jiwa / Luka (1x)
Bekasi;2023;497339,5;TURUN (-58.408 ton);Cuaca: Hujan Lebat (18x), Angin Kencang, Hujan Lebat (5x), Puting Beliung, Hujan Lebat (1x), Hujan Lebat, Hujan Es (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (8x), Banjir / Genangan, Gangguan Transportasi (8x), Bangunan Rusak (3x), Pohon Tumbang, Bangunan Rusak (2x), Tidak ada data (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Bangunan Rusak (1x), Tanah Longsor (1x)
Bekasi;2024;416477;TURUN (-80.862 ton);Cuaca: Angin Kencang, Hujan Lebat (6x), Hujan Lebat (5x), Hujan Lebat, Petir (2x), Angin Kencang (1x), Angin Kencang, Hujan Lebat, Petir (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Bangunan Rusak (7x), Banjir / Genangan, Gangguan Transportasi (3x), Pohon Tumbang (2x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x)
Kota Bekasi;2018;2459,63;Data Awal;Cuaca: Hujan Lebat (9x), Angin Kencang (1x) | Dampak: Banjir / Genangan (9x), Bangunan Rusak (1x)
Kota Bekasi;2019;3045,2;NAIK (+586 ton);Cuaca: Hujan Lebat (6x), Suhu Ekstrem (3x), Angin Kencang (2x), Puting Beliung (2x) | Dampak: Banjir / Genangan (6x), Tidak ada data (3x), Bangunan Rusak (2x), Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang (1x)
Kota Bekasi;2020;2723,05;TURUN (-322 ton);Cuaca: Hujan Lebat (10x), Puting Beliung (2x), Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (10x), Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x)
Kota Bekasi;2021;2304,54;TURUN (-419 ton);Cuaca: Hujan Lebat (20x), Angin Kencang, Hujan Lebat (3x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x) | Dampak: Banjir / Genangan (18x), Pohon Tumbang, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak (1x), Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang (1x), Tanah Longsor (1x), Pohon Tumbang (1x), Banjir / Genangan, Gangguan Transportasi (1x)
Kota Bekasi;2022;1868,44;TURUN (-436 ton);Cuaca: Hujan Lebat (14x), Angin Kencang, Hujan Lebat (7x), Angin Kencang (3x), Puting Beliung (2x), Puting Beliung, Hujan Lebat (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (11x), Bangunan Rusak (6x), Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang (2x), Banjir / Genangan, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Bangunan Rusak, Korban Jiwa / Luka (1x)
Kota Bekasi;2023;1316,49;TURUN (-552 ton);Cuaca: Hujan Lebat (18x), Angin Kencang, Hujan Lebat (5x), Puting Beliung, Hujan Lebat (1x), Hujan Lebat, Hujan Es (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (8x), Banjir / Genangan, Gangguan Transportasi (8x), Bangunan Rusak (3x), Pohon Tumbang, Bangunan Rusak (2x), Tidak ada data (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Bangunan Rusak (1x), Tanah Longsor (1x)
Kota Bekasi;2024;1211,69;TURUN (-105 ton);Cuaca: Angin Kencang, Hujan Lebat (6x), Hujan Lebat (5x), Hujan Lebat, Petir (2x), Angin Kencang (1x), Angin Kencang, Hujan Lebat, Petir (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Bangunan Rusak (7x), Banjir / Genangan, Gangguan Transportasi (3x), Pohon Tumbang (2x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x)
Bogor;2018;348683,62;Data Awal;Cuaca: Hujan Lebat (10x), Angin Kencang, Hujan Lebat (6x), Puting Beliung (2x), Angin Kencang (1x), Puting Beliung, Hujan Es (1x), Puting Beliung, Hujan Lebat (1x) | Dampak: Bangunan Rusak (7x), Pohon Tumbang (3x), Banjir / Genangan (2x), Tanah Longsor (2x), Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Tidak ada data (1x)
Bogor;2019;307860,89;TURUN (-40.823 ton);Cuaca: Angin Kencang, Hujan Lebat (14x), Hujan Lebat (14x), Suhu Ekstrem (3x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Angin Kencang, Petir (2x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x) | Dampak: Banjir / Genangan (7x), Pohon Tumbang (7x), Bangunan Rusak (5x), Tidak ada data (5x), Pohon Tumbang, Bangunan Rusak (3x), Tanah Longsor (3x), Pohon Tumbang, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x)
Bogor;2020;298974,7;TURUN (-8.886 ton);Cuaca: Hujan Lebat (24x), Angin Kencang (8x), Angin Kencang, Hujan Lebat (7x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Es (1x) | Dampak: Banjir / Genangan (12x), Bangunan Rusak (8x), Pohon Tumbang, Bangunan Rusak (6x), Pohon Tumbang (5x), Banjir / Genangan, Tanah Longsor (3x), Tanah Longsor (3x), Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan, Bangunan Rusak (2x), Pohon Tumbang, Tanah Longsor (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x)
Bogor;2021;285154;TURUN (-13.821 ton);Cuaca: Hujan Lebat (33x), Angin Kencang, Hujan Lebat (15x), Angin Kencang (4x), Puting Beliung (3x), Puting Beliung, Hujan Es (1x), Petir (1x), Hujan Lebat, Petir (1x) | Dampak: Tanah Longsor (14x), Pohon Tumbang (12x), Banjir / Genangan (11x), Bangunan Rusak (7x), Pohon Tumbang, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Gangguan Transportasi (1x), Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor (1x)
